id,type,date,date_unixtime,actor,actor_id,action,title,text,text_entities,members,new_icon_emoji_id,from,from_id,file,file_name,file_size,thumbnail,thumbnail_file_size,media_type,sticker_emoji,mime_type,width,height,reply_to_message_id,edited,edited_unixtime,reactions,photo,photo_file_size,forwarded_from,forwarded_from_id,duration_seconds
944,message,[전화번호_마스킹]T20:22:07,[전화번호_마스킹],,,,,,[],,,베트남 이장,user[전화번호_마스킹],(File not included. Change data exporting settings to download.),sticker.webp,50800,(File not included. Change data exporting settings to download.),26980,sticker,💬,image/webp,489,512,,,,,,,,,
945,message,[전화번호_마스킹]T20:22:44,[전화번호_마스킹],,,,,리셉션 직원이라도 어떻게..... 안되겠습니까..,"[{""type"": ""plain"", ""text"": ""리셉션 직원이라도 어떻게..... 안되겠습니까..""}]",,,Yes,user[전화번호_마스킹],,,,,,,,,,,,,,,,,,,
946,message,[전화번호_마스킹]T20:23:10,[전화번호_마스킹],,,,,아줌마던데요ㅠㅠ,"[{""type"": ""plain"", ""text"": ""아줌마던데요ㅠㅠ""}]",,,h df,user[전화번호_마스킹],,,,,,,,,,,,,,,,,,,
947,message,[전화번호_마스킹]T20:24:06,[전화번호_마스킹],,,,,그쪽 동네는 가릴 상황이 안되요,"[{""type"": ""plain"", ""text"": ""그쪽 동네는 가릴 상황이 안되요""}]",,,베트남 이장,user[전화번호_마스킹],,,,,,,,,,,946,,,,,,,,
948,message,[전화번호_마스킹]T20:24:10,[전화번호_마스킹],,,,,,[],,,베트남 이장,user[전화번호_마스킹],(File not included. Change data exporting settings to download.),sticker.webp,35684,(File not included. Change data exporting settings to download.),18856,sticker,💬,image/webp,491,512,,,,,,,,,
949,message,[전화번호_마스킹]T20:24:18,[전화번호_마스킹],,,,,주면 감사해야 뎀요,"[{""type"": ""plain"", ""text"": ""주면 감사해야 뎀요""}]",,,베트남 이장,user[전화번호_마스킹],,,,,,,,,,,,,,,,,,,
950,message,[전화번호_마스킹]T21:27:06,[전화번호_마스킹],,,,,ㅋㅋㅋㅋㅋㅋㅋ,"[{""type"": ""plain"", ""text"": ""ㅋㅋㅋㅋㅋㅋㅋ""}]",,,실버스트림,user[전화번호_마스킹],,,,,,,,,,,,,,,,,,,
951,message,[전화번호_마스킹]T22:33:27,[전화번호_마스킹],,,,,빙고,"[{""type"": ""plain"", ""text"": ""빙고""}]",,,Bruce Don Gral Lee,user[전화번호_마스킹],,,,,,,,,,,949,,,,,,,,
952,message,[전화번호_마스킹]T01:25:37,[전화번호_마스킹],,,,,와.. 미딩 식당이랑 술집들 사람들로 넘쳐나네요 ㅋㅋ,"[{""type"": ""plain"", ""text"": ""와.. 미딩 식당이랑 술집들 사람들로 넘쳐나네요 ㅋㅋ""}]",,,Yes,user[전화번호_마스킹],,,,,,,,,,,,,,,,,,,
953,message,[전화번호_마스킹]T01:29:48,[전화번호_마스킹],,,,,참한 처자들이 좀 보이나?,"[{""type"": ""plain"", ""text"": ""참한 처자들이 좀 보이나?""}]",,,Bruce Don Gral Lee,user[전화번호_마스킹],,,,,,,,,,,,,,,,,,,
954,message,[전화번호_마스킹]T01:48:48,[전화번호_마스킹],,,,,미딩 요즘 좀 붐벼요,"[{""type"": ""plain"", ""text"": ""미딩 요즘 좀 붐벼요""}]",,,베트남 이장,user[전화번호_마스킹],,,,,,,,,,,,,,,,,,,
955,message,[전화번호_마스킹]T01:49:58,[전화번호_마스킹],,,,,단체 여행객이 그래봐야 ㅎㅎ,"[{""type"": ""plain"", ""text"": ""단체 여행객이 그래봐야 ㅎㅎ""}]",,,Yes,user[전화번호_마스킹],,,,,,,,,,,,,,,,,,,
956,message,[전화번호_마스킹]T01:50:10,[전화번호_마스킹],,,,,미딩에 한국인 여자란?,"[{""type"": ""plain"", ""text"": ""미딩에 한국인 여자란?""}]",,,Yes,user[전화번호_마스킹],,,,,,,,,,,,,,,,,,,
957,message,[전화번호_마스킹]T01:50:23,[전화번호_마스킹],,,,,중고딩 아니면 40대,"[{""type"": ""plain"", ""text"": ""중고딩 아니면 40대""}]",,,Yes,user[전화번호_마스킹],,,,,,,,,,,,,,,,,,,
958,message,[전화번호_마스킹]T01:51:28,[전화번호_마스킹],,,,,찝쩍대다간 철컹철컹,"[{""type"": ""plain"", ""text"": ""찝쩍대다간 철컹철컹""}]",,,Yes,user[전화번호_마스킹],,,,,,,,,,,,,,,,,,,
959,message,[전화번호_마스킹]T01:51:54,[전화번호_마스킹],,,,,요즘 좀 붐비는 추세,"[{""type"": ""plain"", ""text"": ""요즘 좀 붐비는 추세""}]",,,미스틱핸즈 Mystic Hands,user[전화번호_마스킹],,,,,,,,,,,,,,,,,,,
960,message,[전화번호_마스킹]T01:51:56,[전화번호_마스킹],,,,,,[],,,미스틱핸즈 Mystic Hands,user[전화번호_마스킹],(File not included. Change data exporting settings to download.),sticker.webp,12568,(File not included. Change data exporting settings to download.),7610,sticker,💬,image/webp,512,512,,[전화번호_마스킹]T05:06:05,[전화번호_마스킹],,,,,,
961,message,[전화번호_마스킹]T01:52:58,[전화번호_마스킹],,,,,,[],,,미스틱핸즈 Mystic Hands,user[전화번호_마스킹],(File not included. Change data exporting settings to download.),sticker.webp,46920,(File not included. Change data exporting settings to download.),26044,sticker,💬,image/webp,512,501,,,,,,,,,
962,message,[전화번호_마스킹]T02:28:43,[전화번호_마스킹],,,,,돈쭐나자,"[{""type"": ""plain"", ""text"": ""돈쭐나자""}]",,,Bruce Don Gral Lee,user[전화번호_마스킹],,,,,,,,,,,,,,,,,,,
963,message,[전화번호_마스킹]T04:09:44,[전화번호_마스킹],,,,,ㅎㅎ,"[{""type"": ""plain"", ""text"": ""ㅎㅎ""}]",,,TAO Luk,user[전화번호_마스킹],,,,,,,,,,,,,,,,,,,
964,service,[전화번호_마스킹]T05:59:58,[전화번호_마스킹],쓰음,user[전화번호_마스킹],invite_members,,,[],"[""쓰음""]",,,,,,,,,,,,,,,,,,,,,,
966,service,[전화번호_마스킹]T08:18:19,[전화번호_마스킹],CK,user[전화번호_마스킹],invite_members,,,[],"[""CK""]",,,,,,,,,,,,,,,,,,,,,,
968,service,[전화번호_마스킹]T08:53:44,[전화번호_마스킹],KC,user[전화번호_마스킹],invite_members,,,[],"[""KC""]",,,,,,,,,,,,,,,,,,,,,,
970,service,[전화번호_마스킹]T09:04:33,[전화번호_마스킹],오늘도 난,user37445439,invite_members,,,[],"[""오늘도 난""]",,,,,,,,,,,,,,,,,,,,,,
972,service,[전화번호_마스킹]T09:05:34,[전화번호_마스킹],youna ni,user[전화번호_마스킹],invite_members,,,[],"[""youna ni""]",,,,,,,,,,,,,,,,,,,,,,
974,message,[전화번호_마스킹]T11:41:41,[전화번호_마스킹],,,,,어서오세요,"[{""type"": ""plain"", ""text"": ""어서오세요""}]",,,Bruce Don Gral Lee,user[전화번호_마스킹],,,,,,,,,,,,,,,,,,,
975,message,[전화번호_마스킹]T12:35:40,[전화번호_마스킹],,,,,,[],,,Yes,user[전화번호_마스킹],(File not included. Change data exporting settings to download.),AnimatedSticker.tgs,41763,(File not included. Change data exporting settings to download.),3084,sticker,🖐,application/x-tgsticker,512,512,,,,,,,,,
976,service,[전화번호_마스킹]T12:55:12,[전화번호_마스킹],h p,user[전화번호_마스킹],invite_members,,,[],"[""h p""]",,,,,,,,,,,,,,,,,,,,,,
978,service,[전화번호_마스킹]T13:40:04,[전화번호_마스킹],따냥 달,user[전화번호_마스킹],invite_members,,,[],"[""따냥 달""]",,,,,,,,,,,,,,,,,,,,,,
980,message,[전화번호_마스킹]T14:27:22,[전화번호_마스킹],,,,,,[],,,베트남 이장,user[전화번호_마스킹],(File not included. Change data exporting settings to download.),sticker.webp,57642,(File not included. Change data exporting settings to download.),31692,sticker,💬,image/webp,485,512,,,,,,,,,
981,service,[전화번호_마스킹]T14:36:52,[전화번호_마스킹],JY Lee Men,user[전화번호_마스킹],invite_members,,,[],"[""JY Lee Men""]",,,,,,,,,,,,,,,,,,,,,,
