id,type,date,date_unixtime,actor,actor_id,action,title,text,text_entities,members,new_icon_emoji_id,from,from_id,file,file_name,file_size,thumbnail,thumbnail_file_size,media_type,sticker_emoji,mime_type,width,height,reply_to_message_id,edited,edited_unixtime,reactions,photo,photo_file_size,forwarded_from,forwarded_from_id,duration_seconds
1534,message,2024-11-26T20:52:58,1732621978,,,,,진짜 텔레그램으로 예약받는건 문제가 많네요,"[{""type"": ""plain"", ""text"": ""진짜 텔레그램으로 예약받는건 문제가 많네요""}]",,,Yes,user1434081860,,,,,,,,,,,,,,,,,,,
1535,message,2024-11-26T20:53:11,1732621991,,,,,메세지 지워버리고 잠수타고,"[{""type"": ""plain"", ""text"": ""메세지 지워버리고 잠수타고""}]",,,Yes,user1434081860,,,,,,,,,,,,,,,,,,,
1536,message,2024-11-26T20:53:32,1732622012,,,,,앞으로는 텔레예약은 되도록 안 받을까 합니다,"[{""type"": ""plain"", ""text"": ""앞으로는 텔레예약은 되도록 안 받을까 합니다""}]",,,Yes,user1434081860,,,,,,,,,,,,,,,,,,,
1537,message,2024-11-26T20:54:26,1732622066,,,,,연락처 저장 해놓고 앞으로 무시하는게,"[{""type"": ""plain"", ""text"": ""연락처 저장 해놓고 앞으로 무시하는게""}]",,,베트남 이장,user8177527023,,,,,,,,,,,1534,,,,,,,,
1538,message,2024-11-26T20:55:29,1732622129,,,,,이게 차단기능이 있어도 이름바꾸면 언제든지 또 연락이 오는 구조라.,"[{""type"": ""plain"", ""text"": ""이게 차단기능이 있어도 이름바꾸면 언제든지 또 연락이 오는 구조라.""}]",,,Yes,user1434081860,,,,,,,,,,,,,,,,,,,
1539,message,2024-11-26T20:56:10,1732622170,,,,,심지어 전화설정도 보안이네 뭐네 하면서 차단해버리고.. 막상 전화도 안되고 속터짐,"[{""type"": ""plain"", ""text"": ""심지어 전화설정도 보안이네 뭐네 하면서 차단해버리고.. 막상 전화도 안되고 속터짐""}]",,,Yes,user1434081860,,,,,,,,,,,,,,,,,,,
1540,message,2024-11-26T20:57:22,1732622242,,,,,저장  해놓으면 바뀌지는 않아요,"[{""type"": ""plain"", ""text"": ""저장  해놓으면 바뀌지는 않아요""}]",,,베트남 이장,user8177527023,,,,,,,,,,,1538,2024-11-26T20:58:35,1732622315,,,,,,
1541,message,2024-11-26T20:58:27,1732622307,,,,,신규가입하지 않은이상,"[{""type"": ""plain"", ""text"": ""신규가입하지 않은이상""}]",,,베트남 이장,user8177527023,,,,,,,,,,,,,,,,,,,
1542,message,2024-11-26T20:58:35,1732622315,,,,,또다른 문제는 전회통화 설정을 차단해버리는 문제도 있어요,"[{""type"": ""plain"", ""text"": ""또다른 문제는 전회통화 설정을 차단해버리는 문제도 있어요""}]",,,Yes,user1434081860,,,,,,,,,,,,,,,,,,,
1543,message,2024-11-26T21:00:18,1732622418,,,,,텔레는 선납을 받는것도 방법,"[{""type"": ""plain"", ""text"": ""텔레는 선납을 받는것도 방법""}]",,,베트남 이장,user8177527023,,,,,,,,,,,,,,,,,,,
1544,service,2024-11-26T21:07:37,1732622857,Hanoi Vina,user6647123102,invite_members,,,[],"[""Hanoi Vina""]",,,,,,,,,,,,,,,,,,,,,,
1546,message,2024-11-26T21:07:59,1732622879,,,,,어서오세요,"[{""type"": ""plain"", ""text"": ""어서오세요""}]",,,베트남 이장,user8177527023,,,,,,,,,,,,,,,,,,,
1547,service,2024-11-26T21:34:57,1732624497,농부 김,user6316747645,invite_members,,,[],"[""농부 김""]",,,,,,,,,,,,,,,,,,,,,,
1549,message,2024-11-26T21:35:14,1732624514,,,,,안녕하세요,"[{""type"": ""plain"", ""text"": ""안녕하세요""}]",,,농부 김,user6316747645,,,,,,,,,,,,,,,,,,,
1550,message,2024-11-26T21:38:19,1732624699,,,,,,[],,,베트남 이장,user8177527023,(File not included. Change data exporting settings to download.),sticker.webp,12110,(File not included. Change data exporting settings to download.),6886,sticker,💬,image/webp,512,512,,,,,,,,,
